SiteID;SiteName;FullSiteCode;SiteCode;County;Latitude;Longitude;Elevation;Comments;State;SiteName_CentroFunzionale
1482;PERUGIA SEDE;1482;1482;Umbria;43.106;12.376;352;Quota ricavata da dem;Italy;Perugia Fontivegge
266;PETRELLE;266;266;Umbria;43.35;12.16;400;Quota ricavata da dem;Italy;Petrelle
773;PETRIGNANO D'ASSISI;773;773;Umbria;43.103;12.537;212;Quota ricavata da dem;Italy;Petrignano d'Assisi
738;PETRIGNANO DEL LAGO - SP 302;738;738;Umbria;43.161;11.953;301;Quota ricavata da dem;Italy;Petrignano del Lago
2842;PIANELLO;2842;2842;Umbria;43.144;12.565;273;Quota ricavata da dem;Italy;Pianello
1522;PIEDILUCO;1522;1522;Umbria;42.534;12.767;389;Quota ricavata da dem;Italy;Piediluco
1680;PIERANTONIO;1680;1680;Umbria;43.26;12.382;231;Quota ricavata da dem;Italy;Pierantonio
4952;PIEVE DI SADDI;4952;4952;Umbria;43.427;12.362;594;Quota ricavata da dem;Italy;Pieve di Saddi
1516;PISTRINO;1516;1516;Umbria;43.497;12.158;299;Quota ricavata da dem;Italy;Pistrino
770;PONTE BETTONA;770;770;Umbria;43.025;12.509;184;Quota ricavata da dem;Italy;NA
804;PONTE BUGGIANINO;804;804;Umbria;42.843;12.926;535;Quota ricavata da dem;Italy;Ponte Buggianino
3542;PONTE FELCINO;3542;3542;Umbria;43.127;12.435;202;Quota ricavata da dem;Italy;Ponte Felcino
453;PONTE NUOVO;453;453;Umbria;43.01;12.429;176;Quota ricavata da dem;Italy;Ponte Nuovo di Torgiano
251;PONTE OSTERIA;251;251;Umbria;42.874;12.056;259;Quota ricavata da dem;Italy;NA
1521;PONTE ROSCIANO;1521;1521;Umbria;43.025;12.446;178;Quota ricavata da dem;Italy;NA
252;PONTE SANTA MARIA;252;252;Umbria;42.896;12.021;241;Quota ricavata da dem;Italy;Ponte S.Maria
4512;PONTE TRESA;4512;4512;Umbria;43.013;11.977;259;Quota ricavata da dem;Italy;NA
253;PONTICELLI;253;253;Umbria;42.932;11.969;249;Quota ricavata da dem;Italy;Ponticelli
4959;PORNELLO;4959;4959;Umbria;42.875;12.201;479;Quota ricavata da dem;Italy;Pornello
4855;PRODO;4855;4855;Umbria;42.768;12.235;431;Quota ricavata da dem;Italy;Prodo
798;RIPALVELLA;798;798;Umbria;42.843;12.3;453;Quota ricavata da dem;Italy;Ripalvella
794;SAN BENEDETTO VECCHIO;794;794;Umbria;43.437;12.464;679;Quota ricavata da dem;Italy;S.Benedetto Vecchio
793;SAN BIAGIO DELLA VALLE;793;793;Umbria;43.017;12.28;237;Quota ricavata da dem;Italy;S.Biagio della Valle
3537;SAN GEMINI;3537;3537;Umbria;42.609;12.54;255;Quota ricavata da dem;Italy;S.Gemini
750;SAN SAVINO;750;750;Umbria;43.106;12.186;273;Quota ricavata da dem;Italy;S.Savino
799;SAN SILVESTRO;799;799;Umbria;42.756;12.674;369;Quota ricavata da dem;Italy;S.Silvestro
772;SANTA LUCIA;772;772;Umbria;43.422;12.239;269;Quota ricavata da dem;Italy;NA
4848;SELLANO;4848;4848;Umbria;42.888;12.922;596;Quota ricavata da dem;Italy;Sellano
3540;SERRAPARTUCCI;3540;3540;Umbria;43.324;12.391;314;Quota ricavata da dem;Italy;NA
2002;SPOLETO;2002;2002;Umbria;42.756;12.739;323;Quota ricavata da dem;Italy;Spoleto
3549;TERNI;3549;3549;Umbria;42.56;12.65;129;Quota ricavata da dem;Italy;Terni
268;TODI;268;268;Umbria;42.787;12.41;211;Quota ricavata da dem;Italy;Todi
774;TODI NAIA;774;774;Umbria;42.768;12.385;209;Quota ricavata da dem;Italy;NA
4954;TORRE DELL'OLMO;4954;4954;Umbria;43.319;12.695;509;Quota ricavata da dem;Italy;Torre dell'Olmo
1517;TORRE ORSINA;1517;1517;Umbria;42.572;12.74;230;Quota ricavata da dem;Italy;NA
5216;TRESA;5216;5216;Umbria;43.049;12.059;274;Quota ricavata da dem;Italy;Tresa
4830;TRESTINA;4830;4830;Umbria;43.358;12.237;272;Quota ricavata da dem;Italy;Trestina
2001;UMBERTIDE;2001;2001;Umbria;43.313;12.35;322;Quota ricavata da dem;Italy;Umbertide
1682;VALLO DI NERA;1682;1682;Umbria;42.757;12.86;414;Quota ricavata da dem;Italy;Vallo di Nera
1679;VALTOPINA;1679;1679;Umbria;43.053;12.756;384;Quota ricavata da dem;Italy;NA
2000;VERGHERETO;2000;2000;Umbria;43.777;12.095;1168;Quota ricavata da dem;Italy;Verghereto
