SiteID;SiteName;FullSiteCode;SiteCode;County;Latitude;Longitude;Elevation;Comments;State;SiteName_CentroFunzionale
3552;AMELIA;3552;3552;Umbria;42.556;12.417;333;Quota ricavata da dem;Italy;Amelia
4589;ABETO;4589;4589;Umbria;42.837;13.063;899;Quota ricavata da dem;Italy;NA
468;ALLERONA;468;468;Umbria;42.772;12.034;153;Quota ricavata da dem;Italy;Allerona
4335;ANCAIANO;4335;4335;Umbria;42.648;12.774;579;Quota ricavata da dem;Italy;Ancaiano
1090;ARMENZANO;1090;1090;Umbria;43.072;12.702;614;Quota ricavata da dem;Italy;Armenzano
4849;ARRONE;4849;4849;Umbria;42.582;12.761;255;Quota ricavata da dem;Italy;Arrone
4851;ATTIGLIANO;4851;4851;Umbria;42.52;12.291;80;Quota ricavata da dem;Italy;Attigliano
4957;AVIGLIANO UMBRO;4957;4957;Umbria;42.677;12.437;422;Quota ricavata da dem;Italy;Avigliano Umbro
811;AZZANO;811;811;Umbria;42.812;12.757;235;Quota ricavata da dem;Italy;Azzano
796;BASTARDO;796;796;Umbria;42.865;12.558;321;Quota ricavata da dem;Italy;Bastardo
270;BASTIA UMBRA;270;270;Umbria;43.054;12.561;204;Quota ricavata da dem;Italy;Bastia Umbra
3543;BEVAGNA;3543;3543;Umbria;42.944;12.639;205;Quota ricavata da dem;Italy;Bevagna
4960;BRANCA;4960;4960;Umbria;43.266;12.695;413;Quota ricavata da dem;Italy;Branca
4850;CALVI DELL'UMBRIA;4850;4850;Umbria;42.417;12.555;342;Quota ricavata da dem;Italy;Calvi dell'Umbria
4958;CAMPOGRANDE;4958;4958;Umbria;42.939;12.028;492;Quota ricavata da dem;Italy;Campogrande
3545;CANNARA;3545;3545;Umbria;42.996;12.584;190;Quota ricavata da dem;Italy;Cannara
3546;CANTALUPO;3546;3546;Umbria;42.956;12.597;200;Quota ricavata da dem;Italy;NA
1480;CARESTELLO;1480;1480;Umbria;43.286;12.534;494;Quota ricavata da dem;Italy;Carestello
792;CASA CASTALDA;792;792;Umbria;43.18;12.659;663;Quota ricavata da dem;Italy;Casa Castalda
4963;CASANUOVA;4963;4963;Umbria;43.188;12.596;334;Quota ricavata da dem;Italy;Casanuova
4973;CASCIA;4973;4973;Umbria;42.718;13.02;626;Quota ricavata da dem;Italy;Cascia
795;CASIGLIANO;795;795;Umbria;42.716;12.496;264;Quota ricavata da dem;Italy;Casigliano
4072;CASSA MOLINO DI BAGNI;4072;4072;Umbria;42.789;12.122;191;Quota ricavata da dem;Italy;Cassa Molino di Bagni
4956;CASTAGNACUPA;4956;4956;Umbria;42.671;12.654;741;Quota ricavata da dem;Italy;Castagnacupa
4854;CASTELLUCCIO;4854;4854;Umbria;42.829;13.214;1337;Quota ricavata da dem;Italy;Castelluccio di Norcia
457;CASTIGLIONE DEL LAGO;457;457;Umbria;43.123;12.044;260;Quota ricavata da dem;Italy;Castiglione del Lago
1653;CERBARA;1653;1653;Umbria;43.509;12.218;318;Quota ricavata da dem;Italy;Cerbara
265;CITTA' DI CASTELLO;265;265;Umbria;43.462;12.251;306;Quota ricavata da dem;Italy;Citta'di Castello
775;COLLEPEPE;775;775;Umbria;42.93;12.406;175;Quota ricavata da dem;Italy;Collepepe
269;COMPIGNANO;269;269;Umbria;42.948;12.283;211;Quota ricavata da dem;Italy;Compignano
4953;COMPRESSO;4953;4953;Umbria;43.181;12.338;453;Quota ricavata da dem;Italy;Compresso
636;CORBARA;636;636;Umbria;42.698;12.237;151;Quota ricavata da dem;Italy;Lago di Corbara
4852;CORCIANO;4852;4852;Umbria;43.107;12.307;283;Quota ricavata da dem;Italy;Corciano
4847;FICULLE;4847;4847;Umbria;42.842;12.065;431;Quota ricavata da dem;Italy;Ficulle
1520;FOLIGNO;1520;1520;Umbria;42.953;12.679;222;Quota ricavata da dem;Italy;Foligno
1519;FORCA CANAPINE;1519;1519;Umbria;42.761;13.189;1540;Quota ricavata da dem;Italy;Forca Canapine
797;FORSIVO;797;797;Umbria;42.799;13.014;792;Quota ricavata da dem;Italy;Forsivo
3551;GUALDO TADINO;3551;3551;Umbria;43.24;12.78;552;Quota ricavata da dem;Italy;Gualdo Tadino
301;GUBBIO;301;301;Umbria;43.341;12.563;449;Quota ricavata da dem;Italy;Gubbio
742;ISOLA POLVESE 1;742;742;Umbria;43.115;12.143;263;Quota ricavata da dem;Italy;Polvese 1
752;ISOLA POLVESE 2;752;752;Umbria;43.118;12.137;285;Quota ricavata da dem;Italy;Polvese 2 La Villa
1092;LA BOLSELLA;1092;1092;Umbria;43.038;12.667;982;Quota ricavata da dem;Italy;La Bolsella
4961;LA BRUNA;4961;4961;Umbria;42.82;12.688;238;Quota ricavata da dem;Italy;Bruna
4510;LA CIMA;4510;4510;Umbria;43.234;12.122;694;Quota ricavata da dem;Italy;La Cima
4590;LISCIANO NICCONE;4590;4590;Umbria;43.243;12.143;323;Quota ricavata da dem;Italy;NA
802;LUPO;802;802;Umbria;43.492;12.173;287;Quota ricavata da dem;Italy;NA
807;MARSCIANO;807;807;Umbria;42.916;12.337;168;Quota ricavata da dem;Italy;Marsciano
4066;MASSA MARTANA;4066;4066;Umbria;42.774;12.524;320;Quota ricavata da dem;Italy;Massa Martana
5122;MELEZZOLE;5122;5122;Umbria;42.681;12.348;506;Quota ricavata da dem;Italy;Melezzole
782;MERCATELLO;782;782;Umbria;42.974;12.266;215;Quota ricavata da dem;Italy;NA
1685;MIGIANELLA;1685;1685;Umbria;43.303;12.249;276;Quota ricavata da dem;Italy;NA
803;MOCAIANA;803;803;Umbria;43.371;12.459;424;Quota ricavata da dem;Italy;NA
1079;MOIANO 1;1079;1079;Umbria;43.004;12.022;278;Quota ricavata da dem;Italy;Moiano
1683;MONTE CUCCO;1683;1683;Umbria;43.375;12.729;1155;Quota ricavata da dem;Italy;Monte Cucco
4853;MONTE DEL LAGO;4853;4853;Umbria;43.143;12.159;284;Quota ricavata da dem;Italy;Monte del Lago
3541;MONTE MOLINO;3541;3541;Umbria;42.803;12.402;144;Quota ricavata da dem;Italy;Monte Molino
1176;MONTEDOGLIO;1176;1176;Umbria;43.592;12.053;367;Quota ricavata da dem;Italy;Montedoglio
4028;MONTELEONE DI SPOLETO;4028;4028;Umbria;42.647;12.949;895;Quota ricavata da dem;Italy;Monteleone di Spoleto
264;MONTELOVESCO;264;264;Umbria;43.308;12.418;590;Quota ricavata da dem;Italy;Montelovesco
4955;MONTEMARTANO;4955;4955;Umbria;42.788;12.595;576;Quota ricavata da dem;Italy;Montemartano
1681;MONTICELLI;1681;1681;Umbria;43.016;12.262;217;Quota ricavata da dem;Italy;NA
1686;MONTONE;1686;1686;Umbria;43.323;12.32;257;Quota ricavata da dem;Italy;NA
3538;MORRANO;3538;3538;Umbria;42.759;12.126;176;Quota ricavata da dem;Italy;NA
1652;NARNI SCALO;1652;1652;Umbria;42.552;12.545;108;Quota ricavata da dem;Italy;Narni Scalo
267;NOCERA UMBRA;267;267;Umbria;43.119;12.791;517;Quota ricavata da dem;Italy;Nocera Umbra
2011;NORCIA;2011;2011;Umbria;42.799;13.105;678;Quota ricavata da dem;Italy;Norcia
2005;ORVIETO;2005;2005;Umbria;42.719;12.11;264;Quota ricavata da dem;Italy;Orvieto
813;ORVIETO SCALO;813;813;Umbria;42.725;12.136;127;Quota ricavata da dem;Italy;Orvieto Scalo
3547;PALAZZETTA;3547;3547;Umbria;42.969;12.292;208;Quota ricavata da dem;Italy;Palazzetta
289;PALE;289;289;Umbria;42.981;12.779;560;Quota ricavata da dem;Italy;NA
748;PASSIGNANO;748;748;Umbria;43.187;12.142;308;Quota ricavata da dem;Italy;Passignano Alta
491;PERUGIA ISA;491;491;Umbria;43.101;12.396;376;Quota ricavata da dem;Italy;Perugia
3539;PERUGIA SANTA GIULIANA;3539;3539;Umbria;43.105;12.387;412;Quota ricavata da dem;Italy;Perugia Santa Giuliana
